name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
Gettin' You Home,0.44,0.639,0.678,1.45e-06,0.221,-5.02,0.0278,106.966,0.531,4
Panama Red,0.463,0.563,0.367,0.448,0.395,-16.288,0.0363,110.414,0.855,4
I Know She Ain't Ready,0.0449,0.477,0.728,0.0,0.101,-5.975,0.0337,162.084,0.613,4
Beyond (feat. Luke Combs) - Live,0.455,0.619,0.623,0.0,0.167,-6.33,0.0328,76.037,0.309,4
Fightin' The Fool,0.0132,0.614,0.826,0.0,0.342,-4.594,0.0301,129.986,0.693,4
Borrowed Time,0.123,0.647,0.58,0.0,0.151,-7.647,0.0316,85.083,0.199,4
Old Glory,0.303,0.655,0.691,0.0,0.124,-5.739,0.0355,136.063,0.566,4
Kids In The South,0.205,0.732,0.516,0.0,0.129,-5.693,0.0418,125.958,0.818,4
This One's for You,0.444,0.499,0.497,1.41e-06,0.108,-7.811,0.0449,149.278,0.235,4
On My Way to You,0.327,0.443,0.538,4.61e-05,0.0866,-5.477,0.0309,157.97,0.245,4
Dear Rodeo,0.00881,0.482,0.654,0.000164,0.111,-5.268,0.0265,146.192,0.353,4
Monday Morning Merle,0.257,0.596,0.58,0.000102,0.196,-6.318,0.0229,93.979,0.409,4
Dear Today,0.603,0.492,0.212,1.38e-06,0.109,-10.662,0.036,153.015,0.372,4
Does To Me (feat. Eric Church),0.308,0.616,0.849,0.0,0.311,-4.897,0.0373,113.066,0.639,4
Reasons,0.0561,0.455,0.851,1.91e-05,0.264,-4.74,0.0418,84.944,0.667,4
Missin' You Crazy,0.0477,0.61,0.867,0.0,0.14,-3.677,0.0332,117.009,0.742,4
Trash A Hotel Room,0.0237,0.655,0.639,0.0,0.345,-5.238,0.0238,102.957,0.441,4
Write You A Song,0.0917,0.544,0.889,0.0,0.48,-3.777,0.0409,150.011,0.85,4
This One's for You,0.444,0.439,0.497,1.46e-06,0.108,-7.811,0.0549,74.124,0.236,4
Outlaws Like Us,0.0374,0.485,0.561,0.0,0.117,-6.364,0.0272,159.939,0.499,3
You Already Love Me,0.466,0.514,0.866,0.000106,0.0987,-4.409,0.0516,167.882,0.606,4
"Lover, Lover",0.186,0.879,0.567,0.0,0.622,-6.509,0.0588,112.473,0.948,4
So So Long,0.0593,0.627,0.929,1.07e-06,0.366,-3.341,0.0298,138.971,0.965,4
Hungover & Hard Up,0.245,0.674,0.717,0.000741,0.387,-6.487,0.0328,76.053,0.82,4
Heading South,0.772,0.671,0.243,0.0,0.113,-14.14,0.0607,110.051,0.358,4
Had Me By Halftime,0.109,0.49,0.889,0.0,0.168,-2.94,0.0363,144.089,0.672,4
All Your'n,0.408,0.585,0.55,3.97e-05,0.115,-7.342,0.0255,78.176,0.839,4
When I've Been Drinkin',0.395,0.857,0.558,0.0,0.111,-6.081,0.0385,112.992,0.932,4
"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",0.563,0.516,0.745,0.0,0.275,-8.352,0.0774,186.004,0.825,3
"Y'all People - Dedicated to the ""CoJo Nation""",0.0488,0.586,0.64,0.0,0.0591,-5.134,0.0306,148.142,0.805,4
Talk To Me Right,0.631,0.708,0.426,1.45e-06,0.0993,-12.825,0.0287,114.493,0.736,4
Every Dog Has Its Day,0.124,0.586,0.961,0.0,0.424,-3.999,0.085,155.965,0.696,4
Colder Weather,0.447,0.664,0.38,0.0,0.117,-7.45,0.0299,135.844,0.188,4
I've Been Better,0.265,0.741,0.52,2.77e-06,0.259,-9.947,0.0243,105.374,0.524,4
Drunk Americans,0.0158,0.283,0.649,0.0,0.268,-4.657,0.0323,148.982,0.37,3
I Hope That's Me,0.291,0.58,0.589,0.0,0.111,-6.602,0.0313,148.556,0.531,4
Heart Like A Wheel,0.542,0.506,0.441,0.000537,0.109,-7.911,0.0506,198.814,0.507,3
Homemade,0.396,0.51,0.838,0.0,0.195,-2.702,0.0469,145.922,0.574,4
You're Gonna Miss This,0.0237,0.5,0.665,6.41e-05,0.0994,-7.157,0.0355,154.997,0.32,4
Watching You,0.105,0.625,0.848,0.0,0.23,-4.008,0.0314,137.993,0.716,4
What I Almost Was,0.0117,0.546,0.863,0.0,0.269,-6.812,0.0458,112.074,0.596,4
Deeper Than the Holler,0.29,0.647,0.482,0.0,0.232,-8.591,0.0262,142.648,0.437,4
Goin' Goin' Gone,0.04,0.635,0.844,1.27e-06,0.216,-5.16,0.0272,111.954,0.886,4
What Are You Listening To?,0.19,0.563,0.553,4.71e-05,0.0967,-8.501,0.0287,161.893,0.409,4
If I Could Do It Again,0.183,0.707,0.892,0.0,0.216,-5.19,0.0405,107.999,0.828,4
She Likes the Beatles,0.00429,0.209,0.593,0.0,0.212,-4.292,0.0324,82.246,0.34,4
She's Like Texas,0.582,0.501,0.523,0.0,0.122,-6.906,0.0324,156.108,0.24,4
Birds,0.0453,0.593,0.671,0.00397,0.205,-8.218,0.0325,111.926,0.387,4
21 Summer,0.0246,0.644,0.89,2.57e-05,0.103,-6.993,0.0332,112.027,0.619,4
Who You'd Be Today,0.149,0.646,0.431,0.000428,0.108,-9.287,0.029,145.855,0.248,4
White Trash Story,0.125,0.669,0.716,0.0,0.117,-6.651,0.038,91.972,0.773,4
Burning House,0.885,0.729,0.248,2e-05,0.116,-8.772,0.0317,140.904,0.43,4
Cold Beer Calling My Name,0.048,0.581,0.86,0.0,0.169,-4.092,0.039,148.318,0.79,4
Must've Never Met You,0.00951,0.455,0.892,0.0,0.143,-3.218,0.0564,75.218,0.641,4
