name,uri,genres
How Am I Doin',3bvr2R5FUjrC3orh47Qe5V,"['contemporary country', 'country', 'country road', 'modern country rock']"
"Woman, Amen",3nBXOlFTADNvG9nkqy2O2W,"['contemporary country', 'country', 'country road', 'modern country rock']"
One Way,47kgihttYKK8KuydjaOPZP,"['contemporary country', 'country', 'country road', 'modern country rock']"
Travelin' Light,0EcxKmWwogn7f51Z0UHFQd,"['contemporary country', 'country', 'country road', 'modern country rock']"
How I'm Going Out,5dacKGUQ1xTS596919Agv0,"['contemporary country', 'country', 'country road', 'modern country rock']"
Knee Deep (feat. Jimmy Buffett),1yEwEiTpsaPhQi9lb5EVV4,"['contemporary country', 'country', 'country road', 'modern country rock']"
Why Don't We Just Dance,2p07VcUwRZ5sru3mJ0JogS,"['contemporary country', 'country', 'country road', 'modern country rock']"
American Remains,4REjaHRPmVb7btssqChJSy,"['country rock', 'outlaw country']"
Brother Jukebox,1Ov6koHfZL43pGCDdfIoHf,"['contemporary country', 'country', 'country road', 'country rock']"
It's A Great Day To Be Alive,3oW6SWwGqiZSPTiAp7ZQoH,"['contemporary country', 'country', 'country road', 'country rock', 'outlaw country']"
Meet In the Middle,7lUE02KHkZM44BZgjCaWRO,"['contemporary country', 'country', 'country road', 'country rock']"
Small Town Southern Man,5ExWY6ojo1Qm3rC7iaEqx2,"['contemporary country', 'country', 'country road']"
Drive (For Daddy Gene),1FV374EPG5CrjdIbIMLkcv,"['contemporary country', 'country', 'country road']"
Take It Easy - 2006 Remaster,1UEKaf3j6eXeNbySz761lc,"['contemporary country', 'country', 'country road', 'country rock', 'outlaw country']"
The Good Stuff,1sR3kJi14jA8Gau3a0yXAo,"['contemporary country', 'country', 'country road']"
Even Though I'm Leaving,3sVLgsSTHRu483w6QciloO,['contemporary country']
It's A Little Too Late - 1996 Greatest Hits Version,0D5L0ZxGyhEFTqhfiXwYxw,"['contemporary country', 'country', 'country road', 'country rock']"
Free And Easy (Down The Road I Go),4Ng7hGdPwpINleVecBWiOO,"['contemporary country', 'country', 'country road', 'modern country rock']"
Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,"['contemporary country', 'country', 'country road', 'modern country rock']"
Mysteries of the World,4i03jcO0O06RWfddcDlQoO,"['contemporary country', 'country pop']"
Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,"['contemporary country', 'country', 'country road']"
Drunk On A Plane,1soxUgYIZb1qx1c7o1Lc7z,"['contemporary country', 'country', 'country road', 'modern country rock']"
Give It All We Got Tonight,19PJ75UGKjpBo0muDNyxPW,"['contemporary country', 'country', 'country road', 'country rock']"
Wrapped,1FWAB1KZHJnAeET0288xha,"['contemporary country', 'country', 'country road', 'country rock']"
