name,uri,genres,artist
IV. Sweatpants,00GOPLxW4PGQuUYdPJh8K1,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",Childish Gambino
Get Stüpid,4PMLEEYw4mblYsPlDSHKyu,"['alt z', 'electropop', 'indie cafe pop', 'indie poptimism', 'indietronica', 'pop', 'social media pop']",bülow
Get Stupid,0Wi0Pk5bSwM7WEFmDAGzL5,"['cali rap', 'gangster rap', 'hyphy', 'oakland hip hop', 'west coast rap', 'west coast trap']",Mac Dre
Sunbleached Girl,7xeJKKmWX8PT0N5jZccbVD,['australian reggae fusion'],Shag Rock
"Weed, Whiskey And Willie",02rxQiuRlHK7LFkrZGf3ii,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",Brothers Osborne
Slow Dancing in a Burning Room,2jdAk8ATWIL3dwT47XpRfu,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
Notion,1HTqgP13dorct3BltLaB0l,['australian reggae fusion'],Tash Sultana
This Damn Song,7s9bJQK8sr8yDyOAHn8miR,['red dirt'],Pecos & the Rooftops
INTRO,77KMttn3Lic7ZQKDlPqp8v,"['dance pop', 'pop', 'uk pop']",DaBaby
Really Got It,0pn8eHCvZsBAF9Y9wfv4rt,[],Jerreau
Recap (with VanJess & Channel Tres),2m3RjRXib3un5AEh08k8Fe,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']",Kito
Your Body - Cat Dealers Radio Edit,3bmbNLqSJjGDRbbqlJUt4y,"['disco house', 'vocal house']",Tom Novy
Parked out by the Lake,2xoADhNgQoRRls6lNCaIYd,[],Dean Summerwind
Every Morning - Remastered,6Neq7tjnknt4URNI8txFL4,"['alternative metal', 'alternative rock', 'funk metal', 'neo mellow', 'pop rock']",Sugar Ray
Every Morning,2ouURa1AIXp3AvkS52Jry5,"['alternative metal', 'alternative rock', 'funk metal', 'neo mellow', 'pop rock']",Sugar Ray
Song for Another Time,7px4t7HGiuMUvFkEOpZEwp,"['contemporary country', 'country', 'country road']",Old Dominion
The Joker,1bp2IO61zbQrbWNmKKxg3f,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']",Steve Miller Band
Dirty Water,52rbzvOCmHgprzUaMqZEPK,"['electropop', 'indie poptimism', 'pop', 'pop rap', 'r&b', 'rap']",Marc E. Bassy
Until the Sun Needs to Rise,062wtUiIbPTivGLQxrA8X9,"['australian electropop', 'indietronica']",RÜFÜS DU SOL
Record Year,5fSPbm5lcwtqwXkeQQswW8,"['contemporary country', 'country', 'country road', 'modern country rock']",Eric Church
Sweat (A La La La La Long),1SssFw74DdHVjRa6ADggdD,"['reggae', 'reggae fusion', 'roots reggae']",Inner Circle
Can't You See,4fUU9WKxEgJXyrZJsUA2iP,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock']",The Marshall Tucker Band
Shake the Frost (Live),19MkwMrRjO7773zpuGss1o,"['kentucky indie', 'kentucky roots', 'outlaw country']",Tyler Childers
God Speed,4GeyPGMzh6VwdNcaCufY9f,['oklahoma country'],Zach Bryan
You Make My Dreams (Come True),4o6BgsqLIBViaGVbx5rbRk,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Daryl Hall & John Oates
Come and Get Your Love - Single Version,7GVUmCP00eSsqc4tzj1sDD,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",Redbone
Lake Shore Drive,46MX86XQqYCZRvwPpeq4Gi,['classic rock'],Aliotta Haynes Jeremiah
Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,"['album rock', 'art rock', 'beatlesque', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",Electric Light Orchestra
Windows (feat. Quavo & Tyga),5YqCVavzzfjCI6EGFt7GSB,"['cali rap', 'oakland hip hop', 'west coast trap']",Kamaiyah
Meet You in the Middle,2HOPkIqhzukXGxzr2s1Xg5,"['contemporary country', 'texas country']",Parker McCollum
Cover Me,6RXBjCDKM6vAGiX4ojUD1E,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",Bruce Springsteen
What We Called Love - Monkey Safari Remix,6y92F7WuJof7EXcILVbHt7,[],Illy Noize
Slow Burn,6ET9kf9riLETWs9lePUEAI,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",Kacey Musgraves
Hallelujah,4rdE7Rtddm0BXwj6RBFSxL,"['indie folk', 'new americana', 'outlaw country', 'roots rock', 'texas country']",Ryan Bingham
Underneath It All,6fR6Z0Vc1K6yQWNUIKjAIR,"['alternative rock', 'dance pop', 'dance rock', 'permanent wave', 'pop rock']",No Doubt
Pontiac,1dNxCqZyAl9XhIDX578usC,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']",Mat Kearney
Thinking 'Bout Love - Acoustic,3UOvd4bfGqepCVx4EJLy57,"['folk-pop', 'indie anthem-folk', 'indie folk', 'indie pop', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']",Wild Rivers
Get It Right,4SoXQCrPQplashFebNaUw3,"['bmore', 'dance pop', 'edm', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",Diplo
Midnight Rider,1hHGUdFaiJHw9hVZGJWYO2,"['album rock', 'blues rock', 'classic rock', 'country rock', 'double drumming', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock']",Allman Brothers Band
Meet Me in the City,0vblqF5R4FyCAVBasjLGdu,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",The Black Keys
Leader Of The Landslide,4BzYMqZUzXpLz6TULBkAFI,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
Supermarket,4Sh40z8GyoeljvpSwZIcPs,"['modern rock', 'rock']",Kings of Leon
Heal Me - Biscits Remix,1ld3ibWlGwo4oBFPb6pmKk,"['reggaeton', 'reggaeton flow', 'trap latino']",FARR
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,3iw6V4LH7yPj1ESORX9RIN,[],Nathan Evans
Wellerman,3oUuRNgyIuiqVTWLCChp3s,['shanty'],The Longest Johns
Wellerman - Sea Shanty,54OBgO0Xwu20Jak9TMXbR7,[],Nathan Evans
Catch Me,00wRVtkbDtPBBklYKzQvMS,['canadian electropop'],Never Come Down
Gangsta's Paradise,7lQWRAjyhTpCWFC0jmclT4,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Coolio
Roll The Bones - Audiotree Live Version,1Yxbxg5R6dQcYmOdjvlXP0,"['austin americana', 'austindie', 'deep new americana', 'indie folk', 'new americana', 'stomp and holler']",Shakey Graves
Roll The Bones,48aMRInrhWYKECuIXX5x9m,"['austin americana', 'austindie', 'deep new americana', 'indie folk', 'new americana', 'stomp and holler']",Shakey Graves
California Open Back,7cDJgovtYrUzNCCMpJFb6Z,"['indie folk', 'neo mellow', 'new americana', 'pop folk', 'stomp and flutter', 'stomp and holler']",Gregory Alan Isakov
La Belle Fleur Sauvage,5IleMdgH4wAm6MnWLLjEra,"['indie folk', 'indie pop', 'stomp and holler']",Lord Huron
Young at Heart,20Ecl51K31i9fpFgF8d0zE,['western americana'],Covenhoven
Easy Rider,3MCaKeccHJ13bLYCEQtQFq,"['indie folk', 'new americana']",Eddie Berman
Bullet Holes,7MBr2B7kXBAh9UV45ZGNJZ,"['indie folk', 'neo mellow', 'new americana', 'pop folk', 'stomp and flutter', 'stomp and holler']",Gregory Alan Isakov
Cat's in the Cradle,2obblQ6tcePeOEVJV6nEGD,"['country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",Harry Chapin
Starlight,2DROU2PMffuPfU5obZRxZs,"['contemporary country', 'country', 'country road', 'modern country rock']",Jon Pardi
When I'm Small,21nf6u3sQbfViHX7wNZmhK,"['alternative dance', 'chillwave', 'dream pop', 'electropop', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'modern rock', 'vapor soul']",Phantogram
Vomit,4cKRFYmiUVB4kWJNXtT2ff,"['cali rap', 'oakland hip hop', 'west coast trap']",Capolow
