,name,uri,genres
68,Friends,5cWU0i23BOS8pSwrYWEMS8,"['contemporary country', 'country', 'country road', 'oklahoma country']"
69,Don't Tempt Me,2JPgcccyZ938uv9AjCGMWq,['contemporary country']
70,Fix a Drink,0s6OWiWGuiCcm1Muzch5A8,"['contemporary country', 'country', 'country road', 'modern country rock']"
71,Love Ain't,6uVzeU47Qzg0rrMneP5BNg,"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'pop rock', 'texas country']"
72,Drunk On You,3b7CDTKB0SRTmQ6ytYi5vZ,"['contemporary country', 'country', 'country road']"
73,Living,54K7AZoGpQklpygKrxZlKN,"['contemporary country', 'country', 'country road', 'modern country rock']"
74,Some Of It,3d1qN7AHge6BXuVPutcpI5,"['contemporary country', 'country', 'country road']"
75,Goodbye In Telluride,3CJEbmr6W4evGStck6Whdw,"['contemporary country', 'country', 'country road', 'modern country rock']"
76,This I Gotta See,4UPXcMdyBzvNFNycwQaO7i,"['contemporary country', 'country', 'country road']"
77,Tip of My Tongue,40ufL61vEaDaaOitYhnlQ7,"['contemporary country', 'country', 'country road']"
78,You Make It Easy,2ZxTjs4EdJl4Y9YByIiNoo,"['contemporary country', 'country', 'country road']"
79,My Religion,7BK6xn13rJRZ4OCbvAszUk,"['contemporary country', 'country', 'country road', 'modern country rock']"
80,Grow Old,14KAAbogyA9EJjYUyOJrRB,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
81,That Old Truck,0kjnvAqQvdjN69aDTGlceq,"['contemporary country', 'country', 'country road', 'modern country rock']"
82,Kiss Tomorrow Goodbye,4ZF2WDTBVFihfTkxfme8JE,"['contemporary country', 'country', 'country road']"
83,How Am I Doin',3bvr2R5FUjrC3orh47Qe5V,"['contemporary country', 'country', 'country road', 'modern country rock']"
84,"Woman, Amen",3nBXOlFTADNvG9nkqy2O2W,"['contemporary country', 'country', 'country road', 'modern country rock']"
85,One Way,47kgihttYKK8KuydjaOPZP,"['contemporary country', 'country', 'country road', 'modern country rock']"
86,Travelin' Light,0EcxKmWwogn7f51Z0UHFQd,"['contemporary country', 'country', 'country road', 'modern country rock']"
87,How I'm Going Out,5dacKGUQ1xTS596919Agv0,"['contemporary country', 'country', 'country road', 'modern country rock']"
88,Knee Deep (feat. Jimmy Buffett),1yEwEiTpsaPhQi9lb5EVV4,"['contemporary country', 'country', 'country road', 'modern country rock']"
89,Why Don't We Just Dance,2p07VcUwRZ5sru3mJ0JogS,"['contemporary country', 'country', 'country road', 'modern country rock']"
90,American Remains,4REjaHRPmVb7btssqChJSy,"['country rock', 'outlaw country']"
91,Brother Jukebox,1Ov6koHfZL43pGCDdfIoHf,"['contemporary country', 'country', 'country road', 'country rock']"
92,It's A Great Day To Be Alive,3oW6SWwGqiZSPTiAp7ZQoH,"['contemporary country', 'country', 'country road', 'country rock', 'outlaw country']"
93,Meet In the Middle,7lUE02KHkZM44BZgjCaWRO,"['contemporary country', 'country', 'country road', 'country rock']"
94,Small Town Southern Man,5ExWY6ojo1Qm3rC7iaEqx2,"['contemporary country', 'country', 'country road']"
95,Drive (For Daddy Gene),1FV374EPG5CrjdIbIMLkcv,"['contemporary country', 'country', 'country road']"
96,Take It Easy - 2006 Remaster,1UEKaf3j6eXeNbySz761lc,"['contemporary country', 'country', 'country road', 'country rock', 'outlaw country']"
97,The Good Stuff,1sR3kJi14jA8Gau3a0yXAo,"['contemporary country', 'country', 'country road']"
98,Even Though I'm Leaving,3sVLgsSTHRu483w6QciloO,['contemporary country']
99,It's A Little Too Late - 1996 Greatest Hits Version,0D5L0ZxGyhEFTqhfiXwYxw,"['contemporary country', 'country', 'country road', 'country rock']"
100,Free And Easy (Down The Road I Go),4Ng7hGdPwpINleVecBWiOO,"['contemporary country', 'country', 'country road', 'modern country rock']"
101,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,"['contemporary country', 'country', 'country road', 'modern country rock']"
102,Mysteries of the World,4i03jcO0O06RWfddcDlQoO,"['contemporary country', 'country pop']"
103,Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,"['contemporary country', 'country', 'country road', 'modern country rock']"
104,Drunk On A Plane,1soxUgYIZb1qx1c7o1Lc7z,"['contemporary country', 'country', 'country road', 'modern country rock']"
105,Give It All We Got Tonight,19PJ75UGKjpBo0muDNyxPW,"['contemporary country', 'country', 'country road', 'country rock']"
106,Wrapped,1FWAB1KZHJnAeET0288xha,"['contemporary country', 'country', 'country road', 'country rock']"
107,Amarillo by Morning,5UfrL0h1wJEiUBDyMnW4F5,"['country pop', 'red dirt', 'texas country']"
108,Some People Do,4GQ1I4CgivCwZFjyTz0Y6x,"['contemporary country', 'country', 'country road']"
109,Rumor (Bryan Todd Remix),1nBJxJ5aI1jWjcw731YwHe,"['contemporary country', 'country', 'country road', 'modern country rock']"
110,My Heart Is a Bar,6ZAKFP9hbfAoMl39BikwGF,"['contemporary country', 'country', 'country road']"
111,People Are Crazy,5JnLiuMgRAWoHYOhatFP3s,"['contemporary country', 'country', 'country road', 'modern country rock']"
112,Little Bit of Life,1jSZ1IETySh2kDTnyfIE0I,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
113,I Wish Grandpas Never Died,7Dxes6VnfbZYV0S2QTnVuT,"['contemporary country', 'country road']"
114,Georgia Time,5XqHOqbjKb7YsQV6f3eGeD,"['contemporary country', 'country road']"
115,This Is It,34DFpyq5NJJ79GnGbbJH3p,"['contemporary country', 'country', 'country road', 'modern country rock']"
116,Blue Collar Boys,0KtxdSPi1ZbDc3wwD2IGF0,['contemporary country']
117,Better Together,1tSGw3h54aHModEHHL1HGK,['contemporary country']
118,Nothing Like You,5ppDdMho96v8gdDm7HKEbK,['contemporary country']
119,"1, 2 Many",6pgN3d6oBrhmrSAKBfWNsf,['contemporary country']
120,What You See Is What You Get,1xIgz2QjA85ZpXiIoj6mMo,['contemporary country']
121,A Long Way,3z1QH1O1h15lFROjcECqgi,['contemporary country']
122,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,['contemporary country']
123,Break Up More Often,6FpSqJRS0786oDMKIDqISd,"['contemporary country', 'country road']"
124,Blessings,7dnDBbHKyJNFXoeVwO8KBY,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
125,Chattahoochee,59kHPbwyyCApYA8RQQEuXm,"['contemporary country', 'country', 'country road']"
126,"Big, Big Plans",7yNJCsUH3tXlpQiHSsAc5l,"['contemporary country', 'country road', 'modern country rock']"
127,America's Sweetheart,2NcstvY8H9PVQ0DMNGHckh,['modern blues rock']
128,I Just Wanted You To Know,39KHPb4hftle7NNR9F1OIR,"['contemporary country', 'country', 'country road', 'country rock']"
129,Speak to a Girl,421ebjYqaIXEG2KloTbXlH,"['pop', 'post-teen pop']"
130,She Gone,4HdB6veTsV8GTmw9H6svyU,"['contemporary country', 'texas country']"
131,"Take Me Home, Country Roads",39q7xibBdRboeMKUbZEB6g,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
