name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,pctCalm,pctEnergetic,pctHappy,pctSad
Grow Old BY Florida Ge...,0.4700795857933549,0.5716216216216216,0.6915544675642594,0.0,0.07997949243783645,0.7112814465408803,0.00734706915828142,0.538717014833731,0.3946135831381733,0.19024378,0.19061176,0.23142411,0.38772032
Wagon Wheel BY Darius Ruc...,0.4939694405321791,0.44324324324324327,0.6119951040391677,0.0,0.12586516277877466,0.6154350104821802,0.010701165947931641,0.5961820236948969,0.540983606557377,0.20305231,0.12342808,0.3350343,0.33848533
Give It All We Got Tonight BY George Str...,0.27461713793024817,0.4972972972972972,0.598531211750306,8.702422145328721e-06,0.055114073314534724,0.6248034591194969,0.006548474684555182,0.47210477107492216,0.26580796252927397,0.17042828,0.29200333,0.19320402,0.34436435
Some People Do BY Old Domini...,0.9315881432479125,0.5405405405405405,0.08200734394124845,0.0,0.08228659318123557,0.46573637316561844,0.02427727200127775,0.3475809715186781,0.24941451990632316,0.31997114,0.0011640855,0.0024342937,0.67643046
My Heart Is a Bar BY Old Domini...,0.3734342643499299,0.46756756756756757,0.5104039167686657,0.0,0.10663932325044859,0.686648322851153,0.00559016131608369,0.1283613122898089,0.48360655737704916,0.22221115,0.1493325,0.30202958,0.32642674
I Wish Grandpas Never Died BY Riley Gree...,0.038976298006391616,0.3189189189189189,0.40636474908200726,0.0,0.10920276852089206,0.7108883647798742,0.010381728158441142,0.5956029081369225,0.1498829039812646,0.082975924,0.38905755,0.09340827,0.43455824
This Is It BY Scotty McC...,0.2757030404183765,0.47027027027027035,0.4296205630354957,0.0,0.0797231479107921,0.6407232704402515,0.009902571474205396,0.651623616751092,0.5737704918032787,0.17776991,0.14348271,0.3313675,0.34737992
Nothing Like You BY Luke Combs...,0.385379191719342,0.5554054054054054,0.34638922888616885,0.0,0.09125865162778773,0.5623689727463311,0.008145663632007666,0.5534809729141374,0.26580796252927397,0.26838148,0.06485291,0.055251043,0.61151457
Chasin' You BY Morgan Wal...,0.71332174313411,0.5702702702702702,0.5275397796817625,0.0,0.0938220968982312,0.7064334381551362,0.00766650694777192,0.24018643334589246,0.44145199063231844,0.31651205,0.037785165,0.090597756,0.5551051
Blessings BY Florida Ge...,0.8001939421843797,0.3472972972972973,0.6266829865361078,0.0,0.06280440912586516,0.6971960167714883,0.02092317521162753,0.18441690738337452,0.2599531615925058,0.25383517,0.051888734,0.06281764,0.63145846
Speak to a Girl BY Tim McGraw...,0.6959473033240561,0.3472972972972973,0.42105263157894735,0.0,0.2425019225839528,0.5969601677148846,0.02667305542245648,0.6214607666652712,0.1288056206088993,0.17536785,0.022844015,0.013206335,0.7885818
"Take Me Home, Country Roads BY John Denve...",0.5927865669518608,0.06216216216216214,0.3304773561811505,3.235294117647059e-05,0.19379646244552676,0.26231656184486374,0.014853857211308094,0.7090118753575865,0.5081967213114754,0.30383712,0.03362584,0.15996476,0.5025723
Cold Hearted BY Zac Brown ...,0.4483615360307875,0.2567567567567568,0.37086903304773555,3.166089965397924e-05,0.04755190976672647,0.6577568134171907,0.005430442421338444,0.7211244610038932,0.2517564402810304,0.13737087,0.072021626,0.048930515,0.7416769
Used to You BY Luke Combs...,0.36474704444490297,0.5013513513513512,0.5226438188494491,0.0,0.40784414252755696,0.6291273584905659,0.00974285257946015,0.5391984482493966,0.1569086651053864,0.1836254,0.14487882,0.059309073,0.6121867
Monsters BY Eric Churc...,0.5569517848436245,0.5945945945945946,0.2937576499388005,2.041522491349481e-06,0.05203793899000255,0.4170597484276729,0.03609647021242613,0.6645525460152664,0.32903981264637006,0.39552245,0.02038289,0.034070764,0.5500239
I Got Away with You BY Luke Combs...,0.16385508414115427,0.4243243243243243,0.3757649938800489,0.0,0.12201999487310944,0.5201781970649895,0.010860884842676888,0.08241581892521738,0.17330210772833723,0.25948223,0.22023702,0.12203527,0.39824545
Rainy Night Song BY Jon Pardi...,0.44510382856640235,0.42567567567567566,0.45899632802937573,0.0,0.13355549859010507,0.6303721174004192,0.012298354895384118,0.5950028606913105,0.275175644028103,0.20133163,0.09516301,0.07577863,0.62772673
Gettin' You Home BY Chris Youn...,0.4776809032102535,0.581081081081081,0.6340269277845777,2.508650519031142e-06,0.23609330940784412,0.7565513626834381,0.007826225842517166,0.3092058441830284,0.49063231850117095,0.21089612,0.14477521,0.2664301,0.37789854
Beyond (feat. Luke Combs) - Live BY Leon Bridg...,0.4939694405321791,0.5540540540540541,0.5667074663402693,0.0,0.16688028710587027,0.6707285115303983,0.015812170579779593,0.09340505993497167,0.2306791569086651,0.2880717,0.119054995,0.093664266,0.4992091
This One's for You BY Luke Combs...,0.482024513162767,0.3918918918918919,0.412484700122399,2.4394463667820072e-06,0.09125865162778773,0.5737028301886792,0.03513815684395464,0.6044291874241219,0.14402810304449645,0.2111641,0.066408806,0.033582527,0.6888445
On My Way to You BY Cody Johns...,0.3549739220517476,0.3162162162162162,0.4626682986536108,7.975778546712804e-05,0.06382978723404253,0.7266116352201257,0.012777511579619871,0.6650758432062069,0.15573770491803277,0.11475721,0.15459934,0.053765293,0.67687815
Monday Morning Merle BY Cody Johns...,0.27896074788276165,0.522972972972973,0.5140758873929008,0.00017647058823529413,0.20405024352730067,0.6715146750524108,0.0,0.21859170259974042,0.34777517564402805,0.2065813,0.21163747,0.20470868,0.3770725
Dear Today BY Luke Combs...,0.6546830087751779,0.3824324324324324,0.0636474908200734,2.3875432525951556e-06,0.09254037426300948,0.38692348008385735,0.02092317521162753,0.6305033421247261,0.3044496487119438,0.29486302,0.004807871,0.009222053,0.6911071
Colder Weather BY Zac Brown ...,0.4852822206271521,0.6148648648648649,0.2692778457772338,0.0,0.1027941553447834,0.5973532494758909,0.01118032263216738,0.5106961945828274,0.08899297423887587,0.22522296,0.023730105,0.010256192,0.7407908
I Hope That's Me BY Brad Paisl...,0.3158814324791262,0.5013513513513512,0.5250917992656058,0.0,0.09510381953345295,0.6529088050314464,0.013416387158600863,0.599391579799333,0.49063231850117095,0.18006165,0.17913963,0.29581323,0.34498549
Heart Like A Wheel BY Eric Churc...,0.5884429569993473,0.40135135135135136,0.3439412484700122,0.0009290657439446368,0.09254037426300948,0.567151467505241,0.0442421338444338,0.9500565160966215,0.4625292740046838,0.2311255,0.029667675,0.059502434,0.6797044
Deeper Than the Holler BY Randy Trav...,0.31479552999099786,0.5918918918918918,0.39412484700122397,0.0,0.25019225839528325,0.5226022012578616,0.005270723526593198,0.5581697157449659,0.3805620608899297,0.2943493,0.097276494,0.12820221,0.48017195
What Are You Listening To? BY Chris Stap...,0.20620528117816075,0.47837837837837827,0.48102815177478586,8.148788927335641e-05,0.0767751858497821,0.528498427672956,0.009263695895224404,0.6924477749403442,0.34777517564402805,0.19084892,0.23168221,0.21838818,0.35908067
She's Like Texas BY Josh Abbot...,0.6318790565244821,0.39459459459459456,0.44430844553243576,0.0,0.10920276852089206,0.6329926624737945,0.015173295000798594,0.6520841182791197,0.1498829039812646,0.17384115,0.035445124,0.0202245,0.7704893
Who You'd Be Today BY Kenny Ches...,0.16168327916489753,0.5905405405405405,0.3317013463892289,0.000740484429065744,0.09125865162778773,0.477004716981132,0.00974285257946015,0.5805459036295892,0.15925058548009366,0.26916173,0.14770907,0.068413205,0.514716
Burning House BY Cam...,0.9609075104273785,0.7027027027027026,0.10771113831089349,3.460207612456748e-05,0.10151243270956165,0.5107442348008385,0.014055262737581856,0.5460013117316251,0.3723653395784543,0.33132762,0.0009082739,0.0029381765,0.664826
Nothin' on You BY Cody Johns...,0.6145046167144281,0.2013513513513513,0.24235006119951039,0.00040138408304498275,0.08613176108690077,0.6150419287211739,0.012458073790129372,0.5022187800895883,0.053864168618266955,0.13518134,0.01651562,0.0073572984,0.8409458
Crowd My Mind BY Brett Eldr...,0.8056234546250215,0.422972972972973,0.24357405140758873,0.0,0.09125865162778773,0.4990172955974842,0.0068679124740456746,0.32438146272030816,0.14168618266978925,0.26848206,0.0054243444,0.005809219,0.7202844
Six Feet Apart BY Luke Combs...,0.36366114195677457,0.48108108108108094,0.5361077111383108,0.0,0.11176621379133553,0.6992924528301886,0.007506788053026674,0.6500327932906322,0.3946135831381733,0.16706443,0.17318521,0.18096858,0.47878182
Better Than Me - Acoustic BY Riley Gree...,0.4972271479965642,0.39459459459459456,0.3317013463892289,0.0,0.1027941553447834,0.6082285115303983,0.022520364159080014,0.12102119702488107,0.48243559718969553,0.3283577,0.04993477,0.13538761,0.4863199
Ballad Of A Southern Man BY Whiskey My...,0.46899368330522656,0.5351351351351351,0.4528763769889841,0.0,0.07459625736990516,0.6552672955974842,0.005111004631847951,0.07909462608671386,0.31381733021077285,0.30949175,0.08452414,0.10203373,0.5039504
Boy BY Lee Brice...,0.6992050107884411,0.39054054054054055,0.3035495716034271,0.0,0.0801076647013586,0.5648584905660377,0.016291327264015325,0.11367410446407383,0.31733021077283374,0.33537087,0.016058374,0.030533308,0.61803746
Leaving Love Behind BY Zac Brown ...,0.965251120379892,0.35270270270270265,0.11995104039167684,0.0,0.06652140476800819,0.6272274633123689,0.018687110685194054,0.16133601261495095,0.28805620608899296,0.22969045,0.0016562497,0.0035171297,0.7651362
"SIGNED, SOBER YOU BY HARDY...",0.6449098863820225,0.44189189189189193,0.34883720930232553,0.0,0.07600615226864907,0.5634827044025157,0.011978917105893626,0.4841475837624369,0.27283372365339575,0.2661977,0.022031259,0.027544837,0.6842262
