name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,pctCalm,pctEnergetic,pctHappy,pctSad,uri
Patty Cake BY Kodak Blac...,0.027248551134605215,0.8067567567567567,0.7466340269277846,0.0,0.03550371699564215,0.6619496855345911,0.26689027311931,0.6240772526199745,0.34426229508196726,0.074937135,0.7803423,0.105547026,0.03917352,0bXFIF7iL17TYLyx8JHziM
Brand New BY Ben Rector...,0.0027071549029040287,0.46756756756756757,0.9461444308445534,0.0,0.10920276852089206,0.7552410901467504,0.14390672416546876,0.5737011763720852,0.3618266978922716,0.019527653,0.77694345,0.17803074,0.025498187,3IpG4SvqxHmbZslvDSIIZP
All Of The Lights BY Kanye West...,0.08632164648878861,0.43513513513513513,0.7870257037943696,2.958477508650519e-05,0.1784157908228659,0.8702830188679245,0.0779428206356812,0.554436862449589,0.12763466042154567,0.042540435,0.77296364,0.076168895,0.108327076,22L7bfCiAkJo5xGSQgmiIO
Five More Hours - Deorro x Chris Brown BY Deorro...,0.03115780009186735,0.6621621621621621,0.8849449204406364,0.0,0.9999999999999999,0.8740828092243186,0.313208752595432,0.45569417116702243,0.45316159250585475,0.03876411,0.77107465,0.1532717,0.03688955,3MOECVkNshqHYTPt5DZcdN
UCLA BY RL Grime...,0.08045777305289539,0.44189189189189193,0.8800489596083231,0.0,0.06139451422712124,0.8876441299790355,0.06260980674013736,0.540649725792272,0.2599531615925058,0.027770603,0.7672164,0.14202066,0.062992305,3OaunNUlXXs5e2PXtNAzzG
Run This Town BY JAY-Z...,0.30502240759784255,0.5716216216216216,0.9351285189718482,0.0,0.28992566008715714,0.9673742138364778,0.4266091678645583,0.16880869650158375,0.38524590163934425,0.08370917,0.76660895,0.10939221,0.040289667,7LR85XLWw2yXqKBSI5brbG
This Bar BY Morgan Wal...,0.12476259456853293,0.4540540540540541,0.8861689106487148,0.0007335640138408305,0.01640604973083825,0.7442348008385743,0.09391471011020602,0.3304796193187369,0.1873536299765808,0.046992708,0.7497399,0.1304679,0.07279947,7oSq5fbsFkTS9zeJQwMihf
Battle Scars BY Lupe Fiasc...,0.20186167122564724,0.4162162162162162,0.7968176254589964,0.0,0.08741348372212251,0.7889150943396226,0.4202204120747484,0.7369350134661812,0.4473067915690866,0.08098955,0.7274133,0.14275461,0.048842482,1hWYT0w2R0J19rlVkiez7X
Home BY Daughtry...,0.002240216833008829,0.3162162162162162,0.8482252141982863,3.0622837370242214e-06,0.20661368879774417,0.8309093291404611,0.021082894106372783,0.5675053376313475,0.26463700234192034,0.024552507,0.726133,0.18140739,0.067907155,2mobr1UlKjhxDTOVqng3jw
Dead And Gone BY T.I....,0.04353708845653077,0.681081081081081,0.7172582619339045,0.0,0.7231479107921045,0.7585167714884695,0.3770963104935314,0.5049538800742384,0.41920374707259944,0.092963256,0.7260875,0.12826174,0.052687492,7IhsLJMqdxoo7YAZjaSMru
Stop And Stare BY OneRepubli...,0.07144478240142992,0.3824324324324324,0.8555691554467563,0.0,0.04973083824660344,0.8054245283018867,0.016451046158760578,0.20809087230153084,0.16276346604215455,0.040969666,0.72560257,0.15421936,0.07920837,48s0QHJgmiNsth3WEO6U4M
Push It BY Kevin Gate...,0.0968549006236338,0.8216216216216216,0.6303549571603427,0.0,0.270699820558831,0.7863600628930816,0.39945695575786616,0.5404055204364997,0.3454332552693208,0.1486433,0.7244923,0.06995808,0.056906223,0uyY5wnNq8hacCleLPNlu6
Airplanes (feat. Hayley Williams of Paramore) BY B.o.B...,0.11933308212789108,0.6094594594594595,0.865361077111383,0.0,0.0,0.8047038784067084,0.14869829100782622,0.21199118069800865,0.31030444964871196,0.054922987,0.7215285,0.17462678,0.048921686,6lV2MSQmRIkycDScNtrBXO
America's Sweetheart BY Elle King...,0.02247058018684038,0.4310810810810811,0.9400244798041616,9.94809688581315e-06,0.4347603178672135,0.8282887840670858,0.06979715700367353,0.4560360586651037,0.3372365339578455,0.023034204,0.71851957,0.21058491,0.04786137,2NcstvY8H9PVQ0DMNGHckh
Best I Ever Had BY Drake...,0.2376964533338835,0.2945945945945946,0.8580171358629131,0.0,0.30786977698026147,0.7661163522012577,0.5639674173454721,0.6916314313224767,0.5491803278688524,0.078893244,0.7079817,0.18063286,0.03249233,3fyMH1t6UPeR5croea9PrR
Chicken Soup BY Skrillex...,0.0012846226434558628,0.8297297297297296,0.8017135862913095,0.08546712802768167,0.7205844655216611,0.8268474842767295,0.17744769206197095,0.4419349436932222,0.42388758782201397,0.07521368,0.70595384,0.1683588,0.050473735,7hU38LHqMSPFrvoqADFJp4
Trippy (feat. J. Cole) BY Anderson ....,0.0766571143444461,0.48783783783783774,0.5997552019583843,0.0,0.3873365803640092,0.5260744234800838,0.48410796997284783,0.23804440351097528,0.07259953161592503,0.20046699,0.7056925,0.030840393,0.06300004,2lRe5wBRm4xaSKTbDn2vLD
Paper Planes BY M.I.A....,0.035718590542006504,0.32162162162162167,0.8421052631578946,0.00012889273356401384,0.8782363496539348,0.6808831236897274,0.3180003194377895,0.7646906964736748,0.4367681498829039,0.0414739,0.7012387,0.200119,0.05716838,1kusepF3AacIEtUTYrw4GV
KOD BY J. Cole...,0.22792333094072814,0.8297297297297296,0.762545899632803,0.0,0.09766726480389643,0.6743972746331236,0.2093914710110206,0.5528251071014918,0.10187353629976581,0.14973801,0.6689841,0.041556325,0.13972154,7yotKA30dwTKNEGomV9ZsI
Coming Home (Oregon) BY Mat Kearne...,0.007680588298531968,0.595945945945946,0.7282741738066095,7.768166089965399e-06,0.35144834657780055,0.780398322851153,0.004791566842357452,0.3164622318974058,0.20491803278688522,0.05843089,0.6676842,0.15453681,0.11934807,4xcArbiK3LzdpravfBkkRc
Fly Over States BY Jason Alde...,0.07481108011462788,0.3756756756756756,0.7050183598531211,0.0,0.09894898743911817,0.8712657232704402,0.015492732790289086,0.13212905206458186,0.08430913348946134,0.07111296,0.66764766,0.11930899,0.14193043,17X2tSzibD9n9QRjdExcWT
Midnight Lovers BY The Swon B...,0.004716074505941515,0.5283783783783783,0.8800489596083231,0.0,0.06267623686234297,0.8722484276729559,0.05366554863440345,0.38645148686175185,0.41451990632318503,0.023941167,0.66383326,0.2783422,0.033883434,2FFifx7RRzlmDLW3e1m4rw
Out of My League BY Fitz and T...,0.04190823472433822,0.4540540540540541,0.988984088127295,0.005622837370242215,0.3770827992822353,0.8526598532494758,0.09966459032103497,0.7487685072773196,0.4859484777517564,0.01565076,0.6636287,0.28657252,0.034147996,2AYEOC02WLhUiOoaig2SEH
Everywhere But On BY Matt Stell...,0.03734744427419907,0.47837837837837827,0.6878824969400245,0.0,0.05472955652396821,0.8252096436058699,0.00798594473726242,0.6087899973486275,0.2306791569086651,0.053254582,0.6609433,0.15164816,0.13415393,0ifYeH4gNXEyba41xr3I1w
"Woman, Amen BY Dierks Ben...",0.0007927088163337107,0.3716216216216216,0.788249694002448,1.6072664359861593e-05,0.1707254550115355,0.6996200209643605,0.10908800511100464,0.39901759674020726,0.3266978922716628,0.040575486,0.65776247,0.24503481,0.056627225,3nBXOlFTADNvG9nkqy2O2W
Country Boy Things BY Canaan Smi...,0.030180487852551816,0.4472972972972973,0.9596083231334148,0.0001231833910034602,0.3693924634709049,0.7984800838574422,0.07906085289889794,0.3724340994404209,0.39695550351288056,0.023380464,0.65704244,0.28156358,0.038013473,0CyhPM6R3S6IckZurbV1YT
A Little More BY Machine Gu...,0.04581748368160035,0.5608108108108107,0.7380660954712362,0.006539792387543253,0.1707254550115355,0.6745938155136267,0.04408241494968856,0.19094067903043505,0.17447306791569087,0.08128652,0.65486324,0.15407258,0.109777674,5wPphxKvFY0IbwNU5dhYhB
Pop Sh*t BY Quality Co...,0.020407365459396476,0.9891891891891892,0.5299877600979191,0.0,0.24378364521917456,0.5698375262054507,0.3419581536495767,0.5327863133364032,0.23770491803278684,0.23029317,0.645195,0.050253745,0.07425814,6QemAIu5bX02Xc1AowTFBu
Me My Bottle And Nothing But Time BY Gethen Jen...,0.011502965056743834,0.21216216216216216,0.9999999999999999,0.04013840830449827,0.2976159958984876,0.9175838574423478,0.1279348346909439,0.28343171320523025,0.46135831381733017,0.015926318,0.64371055,0.32120243,0.019160714,7s1WlGCzwg7etob1Lpetp1
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer) BY Pitbull...",0.20729118366628912,0.6243243243243244,0.9534883720930231,0.0,0.3347859523199179,0.8753930817610062,0.22057179364318796,0.46311103668662174,0.4894613583138173,0.048406526,0.6427092,0.25771582,0.051168337,4QNpBfC0zvjKqPJcyqBy9W
You're Gonna Love Me BY Tim Dugger...,0.0032826832216120653,0.3445945945945946,0.6511627906976744,0.0,0.07216098436298385,0.7262185534591195,0.008465101421498158,0.5681332942604764,0.18969555035128807,0.057321463,0.6349463,0.16061491,0.14711732,35rmHNANlX5bZBlrMMMEib
Gold Digger BY Kanye West...,0.0210589069522735,0.5675675675675675,0.6560587515299876,0.0,0.023840041015124318,0.7203878406708595,0.5192461268168025,0.21199815799388794,0.5983606557377049,0.10119244,0.6338344,0.250755,0.014218062,1PS1QMdUqOal0ai3Gt7sDQ
Bosses Don't Speak BY Quality Co...,0.04950955214123681,0.8297297297297296,0.4002447980416156,0.0,0.08997692899256599,0.5376703354297693,0.6086887078741416,0.6437741588869819,0.03981264637002341,0.3133097,0.63019097,0.0080286795,0.048470717,1C8yDcVIhBObN58cSS8oX9
ZEZE (feat. Travis Scott & Offset) BY Kodak Blac...,0.05580778657238136,0.8810810810810811,0.5838433292533659,5.795847750865052e-06,0.0767751858497821,0.7125262054507336,0.3467497204919342,0.24695441034872517,0.42388758782201397,0.18996899,0.617248,0.14595973,0.046823237,7l3E7lcozEodtVsSTCkcaA
Drip Too Hard (Lil Baby & Gunna) BY Lil Baby...,0.09240270042230747,0.9297297297297297,0.6144430844553244,0.0,0.6372724942322482,0.6331892033542976,0.42980354575946333,0.3478949498332426,0.32435597189695553,0.24361426,0.6172477,0.06904337,0.07009467,78QR3Wp35dqAhFEc2qAGjE
I Don't Want to Be BY Gavin DeGr...,0.00847329711486568,0.2891891891891891,0.8592411260709915,0.0,0.12330171750833119,0.7493448637316561,0.07442900495128574,0.6425810412916371,0.4098360655737705,0.023239551,0.6162689,0.31344062,0.047051005,4vl2zwXsTmAxgu9iY0g6UK
Feel This Moment (feat. Christina Aguilera) BY Pitbull...,0.04223400547077673,0.6270270270270271,0.7319461444308445,0.0,0.3899000256344527,0.8474842767295596,0.21578022680083053,0.5114776517212989,0.5035128805620609,0.060047828,0.6154659,0.27004203,0.054444272,0Hf4aIJpsN4Os2f0y0VqWl
Club Can't Handle Me (feat. David Guetta) BY Flo Rida...,0.03061484884780316,0.5499999999999999,0.8678090575275398,0.0,0.034862855678031275,0.8292059748427671,0.01565245168503434,0.4557290576464185,0.42271662763466034,0.02736211,0.6029788,0.32353896,0.046120133,6ebkx7Q5tTxrCxKq4GYj0Y
My Wish BY Rascal Fla...,0.03322101481931125,0.4581081081081081,0.7454100367197062,9.567474048442907e-06,0.06395795949756472,0.7674921383647798,0.01325666826385561,0.5097751915267719,0.3231850117096019,0.046216503,0.601084,0.25752577,0.09517374,6Gfmj0HbpvxTdW0sdlzTDU
Joe Bought a Bar BY Justin Ada...,0.1584255717005124,0.41486486486486485,0.9228886168910649,0.0,0.22583952832607018,0.7899633123689727,0.13751796837565883,0.5822623184158748,0.4367681498829039,0.037389502,0.5994196,0.29853967,0.06465125,7vCgVAQ0VFf8EqDCfgJK1Y
