name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,pctCalm,pctEnergetic,pctHappy,pctSad,uri
Me Neither BY Brad Paisl...,0.029311765862049116,0.5581081081081081,0.9571603427172583,4.083044982698962e-05,0.3706741861061266,0.46508123689727465,0.024916147580258743,0.3804231032221152,0.8571428571428571,0.014789166,0.11118887,0.8582613,0.01576065,6A426nfNHDuTDs1uY0W0NF
Mr. Lonely BY Midland...,0.03550141004438083,0.5202702702702702,0.8555691554467563,8.09688581314879e-06,0.4988464496283003,0.7575995807127882,0.021721769685353776,0.6089714070414871,0.8653395784543325,0.010330146,0.11719409,0.854846,0.017629733,3sEa95MTLJ8JcoP5A97bWl
If I Could Do It Again BY Corey Smit...,0.19860396376126213,0.6729729729729729,0.8959608323133416,0.0,0.22968469623173543,0.7454140461215932,0.028110525475163718,0.31641339082625136,0.838407494145199,0.02059217,0.10315843,0.8535136,0.022735858,33m6cNCpgX3oKb8xBH7iyk
Write You A Song BY Jon Pardi...,0.0994610665951419,0.45270270270270274,0.8922888616891064,0.0,0.5680594719302743,0.8379848008385743,0.028749401054144703,0.6095435453035822,0.8641686182669789,0.00990073,0.117838606,0.8506251,0.021635473,0OaMDKHLCkUNVnxvQbaiDQ
Over When It's Over BY Eric Churc...,0.03202652208237004,0.4797297297297296,0.45410036719706237,0.0,0.08997692899256599,0.70020964360587,0.02076345631688229,0.5285720266253611,0.8548009367681498,0.038362548,0.06938505,0.8503785,0.041873984,59FhRUTbBuT05t8w1dvWLI
Tequila Little Time BY Jon Pardi...,0.04060515173858417,0.7405405405405404,0.6670746634026927,1.0034602076124568e-05,0.09894898743911817,0.7523584905660377,0.0036735345791407137,0.2952931161998856,0.8700234192037469,0.02510209,0.10512517,0.8498571,0.019915728,15npbUjCgwt2lRvyrJvyxw
Traveller BY Chris Stap...,0.07394235812412517,0.4513513513513514,0.7221542227662178,0.028719723183391006,0.11304793642655728,0.6221829140461215,0.008465101421498158,0.1776210211970249,0.7564402810304449,0.028769016,0.098132044,0.848023,0.025075957,178OI1A3qjROeFeh8lmNwW
Every Little Honky Tonk Bar BY George Str...,0.3169673349672546,0.6094594594594595,0.8200734394124846,0.0,0.13355549859010507,0.751375786163522,0.00974285257946015,0.4146537168055148,0.8711943793911007,0.03201148,0.07698134,0.84780574,0.043201365,64Zm9wNGj6coqg4zsb0Soj
"Redneck Tendencies (HARDY feat. Trace Adkins, Joe Diffie) BY HIXTAPE...",0.025619697402412656,0.5837837837837838,0.7172582619339045,0.0,0.08485003845167904,0.7441037735849056,0.01389554384283661,0.4141164650228157,0.8243559718969554,0.018520998,0.11594356,0.84620655,0.019328875,1lYBlgWcwRqZ6T5syEATJJ
Nobody Leaves A Girl Like That BY Jon Pardi...,0.03734744427419907,0.5878378378378378,0.843329253365973,0.0,0.15149961548320942,0.846174004192872,0.018687110685194054,0.24638924938250922,0.8337236533957845,0.012249148,0.13274081,0.8429503,0.012059698,7eZ8yGicfHsHQmAWwupaY3
