name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,pctCalm,pctEnergetic,pctHappy,pctSad
Bosses Don't Speak BY Quality Co...,0.04950955214123681,0.8297297297297296,0.4002447980416156,0.0,0.08997692899256599,0.5376703354297693,0.6086887078741416,0.6437741588869819,0.03981264637002341,0.5059524,0.31110343,0.021462018,0.16148204
Violation Freestyle BY Quality Co...,0.4429320235901456,0.9445945945945945,0.46756425948592406,0.0,0.18226095872853113,0.5752751572327043,0.43459511260182077,0.4561058316238959,0.18032786885245902,0.6856287,0.07018402,0.018771343,0.22541593
monster BY 21 Savage...,0.17145640155805286,0.9202702702702702,0.5471236230110158,0.00039446366782006927,0.10407587798000512,0.6323375262054507,0.1614758025874461,0.49798356149090856,0.13114754098360656,0.32972783,0.29222518,0.068443745,0.30960336
Space Cadet (feat. Gunna) BY Metro Boom...,0.3994959240650108,0.9351351351351352,0.37209302325581395,2.958477508650519e-05,0.25788259420661364,0.4441168763102725,0.06644306021402333,0.3234255731848565,0.6159250585480093,0.58277255,0.034266252,0.16131389,0.22164723
Dueces (feat. Gucci Mane & OJ Da Juiceman) BY Zaytoven...,0.13344981447355989,0.7999999999999999,0.28886168910648713,0.0,0.055242245578056896,0.5194575471698113,0.11356013416387159,0.10350818436806636,0.3114754098360656,0.48689276,0.12709078,0.1049303,0.28108615
Fucked Up (feat. Migos) BY Zaytoven...,0.1475665468192287,0.8797297297297296,0.4026927784577723,0.0,0.270699820558831,0.31872379454926625,0.51764893786935,0.40036421484489476,0.3793911007025761,0.73801607,0.11886631,0.0734194,0.069698185
Alive (with Offset & 2 Chainz) BY Lil Jon...,0.39298050913624055,0.8135135135135135,0.6927784577723377,3.2525951557093425e-06,0.10792104588567031,0.6447851153039832,0.47931640313049034,0.6098924100975427,0.5362997658079625,0.46045738,0.23661087,0.20562632,0.097305484
IV. Sweatpants BY Childish G...,0.16711279160553938,0.677027027027027,0.3794369645042839,0.0,0.7769802614714176,0.4741876310272536,0.19022520364159076,0.12124447049301573,0.5491803278688524,0.447824,0.13130794,0.23888336,0.18198462
Under The Sun (with J. Cole & Lute feat. DaBaby) BY Dreamville...,0.5547799798673678,0.6513513513513512,0.587515299877601,0.0,0.4770571648295308,0.6634564989517819,0.5527870947133047,0.5304279873292306,0.05971896955503511,0.54614246,0.1251456,0.013343664,0.31536832
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God) BY Dreamville...",0.561295394796138,0.5851351351351352,0.5960832313341493,0.0,0.03601640604973084,0.6719077568134171,0.6470212426130012,0.40537391328616673,0.6463700234192037,0.62779856,0.12339398,0.16420457,0.08460292
Sunset (with J. Cole feat. Young Nudy) BY Dreamville...,0.20294757371377561,0.9662162162162163,0.27539779681762544,0.0,0.12201999487310944,0.6236242138364778,0.2589043283820476,0.46975342236362877,0.32552693208430916,0.5412866,0.0884524,0.044501577,0.32575947
HeadBand (feat. 2 Chainz) BY B.o.B...,0.14322293686671522,0.9594594594594595,0.423500611995104,0.0,0.051653422199436035,0.6176624737945492,0.4489698131288931,0.24291455603466322,0.18852459016393444,0.5897221,0.21947664,0.042652674,0.1481486
The Motto BY Drake...,0.0,0.7527027027027028,0.34516523867809057,0.00010588235294117647,0.09510381953345295,0.5247641509433961,0.5320236383964223,0.97089072159194,0.32552693208430916,0.4342123,0.34515008,0.07317343,0.14746425
Imma Be BY Black Eyed...,0.19426035380874865,0.5243243243243243,0.4369645042839657,0.0,0.34632145603691356,0.6292583857442346,0.5463983389234947,0.20502783941055797,0.35128805620608894,0.46589184,0.30689555,0.096043564,0.1311691
Love Lockdown BY Kanye West...,0.058739723290327964,0.7445945945945945,0.44553243574051404,0.8650519031141869,0.09638554216867468,0.582940251572327,0.015013576106053347,0.39737793220859313,0.0,0.8943782,0.032605376,0.008255879,0.06476068
Amazing BY Kanye West...,0.2344387458694984,0.5121621621621621,0.48225214198286415,0.2041522491349481,0.03217123814406562,0.5347222222222221,0.05047117073949848,0.5824855918840095,0.44964871194379386,0.41494802,0.1714152,0.2400597,0.17357713
Do You Remember BY Jack Johns...,0.8273415043875889,0.5256756756756756,0.15789473684210523,0.00014134948096885812,0.2886439374519354,0.3382468553459119,0.016770483948251078,0.20502783941055797,0.7049180327868851,0.591891,0.0026947826,0.04608101,0.3593332
Who Says BY John Mayer...,0.28981977276404536,0.5067567567567567,0.427172582619339,0.004359861591695502,0.41425275570366565,0.22661163522012573,0.009263695895224404,0.19401766651316615,0.29859484777517564,0.47003773,0.099091046,0.1662653,0.26460597
comethru BY Jeremy Zuc...,0.6590266187276914,0.7918918918918919,0.022031823745410017,0.0,0.7513458087669828,0.29985587002096437,0.055103018687110684,0.21861263448737805,0.5807962529274004,0.64718723,0.001810993,0.01259841,0.33840334
Life Is Beautiful BY Keb' Mo'...,0.8794648238177508,0.5972972972972973,0.36964504283965727,5.709342560553633e-06,0.1271468854139964,0.49508647798742134,0.01708992173774157,0.12307252201336855,0.5327868852459016,0.521452,0.0065697893,0.04474349,0.42723474
Talk Of The Town BY Jack Johns...,0.6916036933715426,0.9364864864864865,0.33659730722154213,0.00017647058823529413,0.08741348372212251,0.3191168763102725,0.0689985625299473,0.470227878483415,0.7014051522248242,0.7201071,0.0063755224,0.07791356,0.19560379
