,name,uri,genres,artist
74,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,['chicago rap'],Polo G
75,Real As It Gets (feat. EST Gee),7eX3um6NpOQKWJMGCi97XD,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Lil Baby
77,You Still Take Me To The Light,0O3Pb33KINQl8t04jGOrX2,['alternative r&b'],Francis and the Lights
78,Talking to the Moon,161DnLWsx1i3u1JT05lzqU,"['dance pop', 'pop']",Bruno Mars
79,Lazy,0ZAPlh9j5ixbKfaMFMN0be,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']",Deep Purple
80,Yellow Eyes,3HOXNIj8NjlgjQiBd3YVIi,"['deep new americana', 'indie folk', 'new americana', 'stomp and holler']",Rayland Baxter
81,Golden Hour,0pMfPzdRiPAoSM9yWF4OcT,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",Kacey Musgraves
82,chocolate,42uMZOkB0WPPh55cZYQq6E,"['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']",Ziggy Alberts
83,In This Shirt,4d3QT8EyzdU5ShmEM71nRc,['baroque pop'],The Irrepressibles
84,In My Head (feat. Georgia Ku),2OKhsrfq07zof82QKMoWJ0,"['electropop', 'pop']",Party Favor
85,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",French Montana
86,Buzzcut Season,51QEyJI5M7uyd8DOh9tqQY,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",Lorde
87,Lego House,5ubHAQtKuFfiG4FXfLP804,"['pop', 'uk pop']",Ed Sheeran
88,Hear My Voice,5WKWQ6mhbNp5M6AY4wTUfM,"['folk-pop', 'nz pop']",Celeste
89,Afternoon Delight,3uLk0uQ4zMS26h89Of8XOD,['soft rock'],Starland Vocal Band
91,Perc Popper,6EeMWRDPBFpboU5DjA7Jrl,"['cali rap', 'trap', 'underground hip hop']",Shoreline Mafia
92,Rattlin' Bog,2VjrFvthQjw7BS8aS4VdZi,[],Carlyle Fraser
93,Flower,60rIdEPDrzyLiLC0icp3xz,['meme rap'],Moby
100,Good Lord Lorrie,0pghPocTwFg6ckBUs52SQ8,['red dirt'],Turnpike Troubadours
102,Games Continued (feat. Marie Plassard) - Extended Mix,5pUtrlnTWtIF3x3t1eZ1ki,"['deep euro house', 'minimal tech house', 'new french touch', 'pop dance', 'tropical house']",Bakermat
103,Games Continued (feat. Marie Plassard) - Radio Edit,64dkTKKNLwbjBuU4xnS2ei,"['deep euro house', 'minimal tech house', 'new french touch', 'pop dance', 'tropical house']",Bakermat
106,Hey Hey Hey,571lcLQWO5cclITS1FtCM5,"['edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house', 'vocal house']",Chemical Surf
107,Hey Hey Hey,2C7ybdAVLKrxVmfOXfGhVb,"['pop rock', 'reggae fusion']",Michael Franti & Spearhead
110,Just To See You Smile,2op0kDNARK2VHWHntEeH4g,"['pop', 'post-teen pop']",Tim McGraw
112,Comin Out Strong (feat. The Weeknd),1B87ZDrD3Pno9hS4stamWO,[],Future
113,Mrs.,2R4O7MgIrN35QXnyLKMFVl,"['modern blues', 'soul']",Leon Bridges
114,Lets Link,6fMzgFFGzWCwiHMzDzNpp5,['viral rap'],WhoHeem
115,Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,"['pop', 'uk pop']",Ed Sheeran
117,26,1SqAcHRKodDP1mxvAqkCvU,"['indie folk', 'new americana', 'stomp and holler']",Caamp
118,Element,57BGVV6wcyhbn3hsjlqEZB,['brooklyn drill'],Pop Smoke
119,Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,"['dance pop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",Mary J. Blige
121,Shaded In (feat. Jordan Léser) - Common Tiger Remix,64e9nWBepKbGusoPu8AmIr,"['alternative r&b', 'electropop', 'etherpop', 'pop', 'post-teen pop', 'r&b']",filous
122,Attachments,1SedJ3dLWoCqnPIGeEMUJH,"['canadian hip hop', 'melodic rap', 'rap montrealais', 'toronto rap', 'trap']",Pressa
124,Tomorrow,47KDDZgFiX1w6RFOuLXsSn,"['austin americana', 'austindie', 'deep new americana', 'indie folk', 'new americana', 'stomp and holler']",Shakey Graves
125,Stir It Up,4FNm4ZJaUVLDCMXcqwS6zY,"['reggae', 'roots reggae']",Bob Marley & The Wailers
127,IV. Sweatpants,00GOPLxW4PGQuUYdPJh8K1,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",Childish Gambino
128,Get Stüpid,4PMLEEYw4mblYsPlDSHKyu,"['alt z', 'electropop', 'indie cafe pop', 'indie poptimism', 'indietronica', 'pop', 'social media pop']",bülow
129,Get Stupid,0Wi0Pk5bSwM7WEFmDAGzL5,"['cali rap', 'gangster rap', 'hyphy', 'oakland hip hop', 'west coast rap', 'west coast trap']",Mac Dre
130,Sunbleached Girl,7xeJKKmWX8PT0N5jZccbVD,['australian reggae fusion'],Shag Rock
132,Slow Dancing in a Burning Room,2jdAk8ATWIL3dwT47XpRfu,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",John Mayer
133,Notion,1HTqgP13dorct3BltLaB0l,['australian reggae fusion'],Tash Sultana
134,This Damn Song,7s9bJQK8sr8yDyOAHn8miR,['red dirt'],Pecos & the Rooftops
135,INTRO,77KMttn3Lic7ZQKDlPqp8v,"['dance pop', 'pop', 'uk pop']",DaBaby
136,Really Got It,0pn8eHCvZsBAF9Y9wfv4rt,[],Jerreau
137,Recap (with VanJess & Channel Tres),2m3RjRXib3un5AEh08k8Fe,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']",Kito
138,Your Body - Cat Dealers Radio Edit,3bmbNLqSJjGDRbbqlJUt4y,"['disco house', 'vocal house']",Tom Novy
139,Parked out by the Lake,2xoADhNgQoRRls6lNCaIYd,[],Dean Summerwind
140,Every Morning - Remastered,6Neq7tjnknt4URNI8txFL4,"['alternative metal', 'alternative rock', 'funk metal', 'neo mellow', 'pop rock']",Sugar Ray
141,Every Morning,2ouURa1AIXp3AvkS52Jry5,"['alternative metal', 'alternative rock', 'funk metal', 'neo mellow', 'pop rock']",Sugar Ray
144,Dirty Water,52rbzvOCmHgprzUaMqZEPK,"['electropop', 'indie poptimism', 'pop', 'pop rap', 'r&b', 'rap']",Marc E. Bassy
145,Until the Sun Needs to Rise,062wtUiIbPTivGLQxrA8X9,"['australian electropop', 'indietronica']",RÜFÜS DU SOL
147,Sweat (A La La La La Long),1SssFw74DdHVjRa6ADggdD,"['reggae', 'reggae fusion', 'roots reggae']",Inner Circle
151,You Make My Dreams (Come True),4o6BgsqLIBViaGVbx5rbRk,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Daryl Hall & John Oates
152,Come and Get Your Love - Single Version,7GVUmCP00eSsqc4tzj1sDD,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",Redbone
153,Lake Shore Drive,46MX86XQqYCZRvwPpeq4Gi,['classic rock'],Aliotta Haynes Jeremiah
154,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,"['album rock', 'art rock', 'beatlesque', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",Electric Light Orchestra
155,Windows (feat. Quavo & Tyga),5YqCVavzzfjCI6EGFt7GSB,"['cali rap', 'oakland hip hop', 'west coast trap']",Kamaiyah
157,Cover Me,6RXBjCDKM6vAGiX4ojUD1E,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",Bruce Springsteen
158,What We Called Love - Monkey Safari Remix,6y92F7WuJof7EXcILVbHt7,[],Illy Noize
159,Slow Burn,6ET9kf9riLETWs9lePUEAI,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",Kacey Musgraves
161,Underneath It All,6fR6Z0Vc1K6yQWNUIKjAIR,"['alternative rock', 'dance pop', 'dance rock', 'permanent wave', 'pop rock']",No Doubt
162,Pontiac,1dNxCqZyAl9XhIDX578usC,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop rock', 'stomp and holler']",Mat Kearney
163,Thinking 'Bout Love - Acoustic,3UOvd4bfGqepCVx4EJLy57,"['folk-pop', 'indie anthem-folk', 'indie folk', 'indie pop', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']",Wild Rivers
164,Get It Right,4SoXQCrPQplashFebNaUw3,"['bmore', 'dance pop', 'edm', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",Diplo
166,Meet Me in the City,0vblqF5R4FyCAVBasjLGdu,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",The Black Keys
167,Leader Of The Landslide,4BzYMqZUzXpLz6TULBkAFI,"['folk-pop', 'modern rock', 'stomp and holler']",The Lumineers
168,Supermarket,4Sh40z8GyoeljvpSwZIcPs,"['modern rock', 'rock']",Kings of Leon
169,Heal Me - Biscits Remix,1ld3ibWlGwo4oBFPb6pmKk,"['reggaeton', 'reggaeton flow', 'trap latino']",FARR
170,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,3iw6V4LH7yPj1ESORX9RIN,[],Nathan Evans
171,Wellerman,3oUuRNgyIuiqVTWLCChp3s,['shanty'],The Longest Johns
172,Wellerman - Sea Shanty,54OBgO0Xwu20Jak9TMXbR7,[],Nathan Evans
173,Catch Me,00wRVtkbDtPBBklYKzQvMS,['canadian electropop'],Never Come Down
174,Gangsta's Paradise,7lQWRAjyhTpCWFC0jmclT4,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Coolio
175,Roll The Bones - Audiotree Live Version,1Yxbxg5R6dQcYmOdjvlXP0,"['austin americana', 'austindie', 'deep new americana', 'indie folk', 'new americana', 'stomp and holler']",Shakey Graves
176,Roll The Bones,48aMRInrhWYKECuIXX5x9m,"['austin americana', 'austindie', 'deep new americana', 'indie folk', 'new americana', 'stomp and holler']",Shakey Graves
177,California Open Back,7cDJgovtYrUzNCCMpJFb6Z,"['indie folk', 'neo mellow', 'new americana', 'pop folk', 'stomp and flutter', 'stomp and holler']",Gregory Alan Isakov
178,La Belle Fleur Sauvage,5IleMdgH4wAm6MnWLLjEra,"['indie folk', 'indie pop', 'stomp and holler']",Lord Huron
179,Young at Heart,20Ecl51K31i9fpFgF8d0zE,['western americana'],Covenhoven
180,Easy Rider,3MCaKeccHJ13bLYCEQtQFq,"['indie folk', 'new americana']",Eddie Berman
181,Bullet Holes,7MBr2B7kXBAh9UV45ZGNJZ,"['indie folk', 'neo mellow', 'new americana', 'pop folk', 'stomp and flutter', 'stomp and holler']",Gregory Alan Isakov
184,When I'm Small,21nf6u3sQbfViHX7wNZmhK,"['alternative dance', 'chillwave', 'dream pop', 'electropop', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'modern rock', 'vapor soul']",Phantogram
185,Vomit,4cKRFYmiUVB4kWJNXtT2ff,"['cali rap', 'oakland hip hop', 'west coast trap']",Capolow
186,Home,7w5cxTEzp1rfV3KCy0Bd5N,"['double drumming', 'indie folk', 'indie pop', 'la indie', 'modern rock', 'stomp and holler']",Edward Sharpe & The Magnetic Zeros
187,Suga Suga,6Nq5lE0CeOAAAqN4qhkbZU,"['chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'texas latin rap', 'urban contemporary']",Baby Bash
188,Fly,3uPfVXcjnpOjyzI3jb3js4,"['alternative metal', 'alternative rock', 'funk metal', 'neo mellow', 'pop rock']",Sugar Ray
189,Roots,5HorjQJbDWGabguEDSwQvl,"['alternative r&b', 'indie r&b', 'nyc pop', 'pop']",Cautious Clay
193,Sherry Baby,21q7D3MMTipo52LoUH6XJN,"['heartland rock', 'mellow gold', 'rock']",Stevie G
195,"So Long, Honey",11HXGSToW21uxNRl8kKBbu,"['indie folk', 'new americana', 'stomp and holler']",Caamp
196,Yoko Ono,4tDuuFTq60JH84e0oO9Pu7,[],Mob Rich
197,Oh My,12XxqI4ofdLx7DtD8mdlZc,['modern alternative pop'],James Quick
199,Take A Load Off Your Feet - Remastered 2009,4sRVY84sduxcqn0JsTMqrC,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",The Beach Boys
201,I'm Just a Kid,6otiaV2fagE3s8IvP6WkwG,"['canadian pop punk', 'canadian punk', 'canadian rock', 'pop punk']",Simple Plan
202,Ca plane pour moi,71yCMlsD6qbD7NmNUEoVNR,['classic belgian pop'],Plastic Bertrand
203,Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,"['rap', 'slap house']",Travis Scott
204,Panama - 2015 Remaster,05RgAMGypEvqhNs5hPCbMS,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Van Halen
205,Z4L (with Bari & Jay2),3X6YJcqTinaNraRvojF62K,"['dance pop', 'pop', 'pop rap']",Smino
206,I Know A Gun,1uN7FXCu0SDfV2Lb3SlahC,[],Kerry Hart
207,Café Deluxe,4KAbHs539qjYyqH8OyQRPt,[],Osei The Seventh
208,Real Love Baby,0Z57YWES04xGh3AImDz6Qr,"['indie folk', 'indie pop', 'indie rock', 'stomp and holler']",Father John Misty
210,Diggin' Holes,3zQGSeIVIj3k41gi1MaToN,"['indie folk', 'modern southern rock', 'new americana', 'roots americana', 'roots rock']",Brent Cobb
